0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1.2886567,0.30230874,-0.46308362,-0.13947268,-1.21063,0.65641856,1.742088,-0.62986314,-0.11628848,-0.8210639,2.057328,0.6529551,-1.6744071,0.29074457,0.50497764,1.1779747,0.36512166,-0.42052484,-1.7333227,-0.32864067,-1.9251505,0.8875642,1.8038144,0.17223898,0.13603494,0.6910888,-2.040729,0.6944118,0.523947,-0.57680595,0.35320103,-0.279822
-0.32453755,-1.418765,-0.2962449,-1.4563603,-1.545285,0.18355255,-0.7510336,1.5133398,0.022549588,-0.26313797,-0.44773903,-1.3733617,1.1968919,0.9402222,0.11667345,-1.3034419,0.76349944,-0.46865225,-0.8837215,-1.4600239,0.69676566,-0.6024233,0.33486238,0.25713632,0.3436432,1.3171512,-0.2400645,-0.5029766,1.2752254,0.38806614,-0.5634916,1.083642
0.05991139,0.94532573,-1.6027403,0.65683025,-1.4391128,-0.51502174,1.5714499,-0.6382304,0.636674,-1.63674,-0.343807,-0.06878152,0.34213373,-0.39270124,-1.138414,-1.3307405,-0.0831617,-0.15304722,-2.347301,1.2273222,0.14892413,0.36226895,-0.166671,2.5156248,1.9109175,2.0383298,-0.91207314,-0.13728023,-1.1901699,1.5389249,0.21011302,1.6151186
-0.57018554,-0.52282125,-0.54019237,-1.5589707,-1.4233476,-0.069524966,0.1726327,-0.9901492,-1.0406309,-1.2295187,-0.58793753,-2.081432,-0.67132354,-1.5839564,0.17579854,-0.8784092,-1.5910978,-0.6688759,-1.121473,1.2614826,-0.10412667,0.10553375,-1.1366704,0.6329834,0.4062027,-0.5522907,0.48259816,-0.5904367,2.6862164,-0.28466588,-0.3207101,-0.7426295
0.51931477,-1.807117,-0.095229164,0.22786644,-0.26375532,-1.2084225,0.29233092,0.26061475,0.9970638,1.729179,1.1690023,1.1830307,-1.0467544,-1.1147488,-0.12916382,-0.2710445,0.66907096,0.5793722,0.6402337,-0.41403043,0.86753505,-0.43677393,0.6083928,0.10388085,0.3781356,-1.0498586,-0.9093564,0.48853925,1.0372909,0.6595301,-1.3171961,0.14056945
0.40708196,-0.32147467,-0.29984218,-0.022339035,1.3762106,0.2001502,-0.6198408,-0.55082655,2.2073624,-0.6044703,2.1651423,-0.078278005,-1.7795887,-0.87855864,-1.8007214,0.6655938,1.1089919,-1.6872702,1.5026526,-0.32053247,-1.1795917,-1.0256662,0.6255198,-0.008996375,-0.39408916,0.5934918,-0.0529005,-0.34322104,-0.50110036,0.21288829,-0.04811299,-0.5597902
-0.6609637,-0.6845881,0.31930715,-0.55866134,1.0931295,0.35619867,-0.31991342,0.8323357,-0.26289505,-0.22150493,-1.2383012,0.6248252,-1.6061889,-1.0736232,-0.833301,0.43608102,-0.18627277,-0.15987247,0.28406575,0.6441305,-0.71536934,0.15566798,1.0942814,0.49013695,0.6971223,0.44663286,-0.654877,-0.77514315,-0.1746573,-1.1210015,1.0309523,0.75009334
0.7539431,-0.18347608,-0.0072064484,-0.7497039,-0.18972737,-0.8880532,0.58921325,-1.159148,0.42690668,-1.3129251,-0.45853397,0.22324471,0.24131712,-1.9824096,0.32641163,0.4673624,0.738225,0.3731561,-0.3153521,0.18806571,0.64333475,0.25593522,-1.9975682,-0.57696223,1.08541,-0.55367965,1.9126458,0.17668144,-0.04071626,0.02396314,-1.2527508,-2.1280985
0.2892212,-1.4769756,-0.22523311,-0.551978,2.0575619,-0.0061407536,0.3945938,1.5694247,-0.29260424,-2.4752383,-1.3433114,-0.13909437,-0.4693746,-1.200791,0.76715916,-0.6780733,0.5543053,-0.8821738,0.17960517,0.02195474,0.05621036,0.04953151,-0.21803637,0.3385672,-0.4265775,-0.47801757,-0.92806274,-0.5427811,1.5770407,0.8610624,-0.39979145,-0.4609728
-0.18509404,-0.988036,0.69214636,0.5754857,1.0449859,-0.4451949,-0.3152901,1.1411394,-1.3327152,0.42417073,1.6464715,0.005383483,-0.06744575,0.40378246,0.8984636,1.9582124,0.78332597,-1.0954447,0.5243889,-0.9848671,0.009862014,-0.523306,-0.56495005,-0.8920996,0.23527697,0.17805663,-2.13213,-0.44827387,-1.6652783,-1.0475842,-0.292801,1.7748948
-2.0198443,1.3658189,-0.6442132,0.35743135,0.6587829,-1.1464028,-0.6514772,-0.41611424,-1.0353974,0.61374754,-0.018385466,0.07154652,-1.6279773,0.49527007,-1.2889265,-1.0809822,1.0929972,0.32569334,-1.1055143,-0.47904974,-0.910533,0.38497496,-1.4099565,-0.731109,1.1274974,-0.5943098,-0.6943702,-0.95700663,0.45709825,0.808454,-0.12438013,0.5565473
-0.7361853,-1.7022914,-0.1988292,-1.324745,2.0548778,-1.1863557,-0.27164817,-0.85189027,-0.5338569,-1.2682197,1.3551892,-1.0233797,0.64977866,-0.38225353,-0.6454011,-0.11512331,-0.8379302,-2.036179,0.085587144,-0.3303919,-2.1522248,-0.66572237,-0.3727384,1.3077861,-0.7412852,0.96358836,-0.17068762,0.32336476,-0.63179356,-0.13105558,-0.14725766,1.3363867
-0.26432374,-0.46379232,-1.556807,0.533706,-0.8327502,0.6412716,-0.9452138,0.3122744,0.38214645,-1.1687851,-0.2627964,1.4466838,0.3313539,1.1739872,-0.13807207,-2.7742326,1.1452322,-0.46655834,0.37038833,0.35660905,1.1609403,-0.45542452,-0.95762414,0.632647,-1.4946042,1.0846616,0.38336408,0.6574001,-1.0385085,0.8695849,1.4844387,0.26248825
0.5261627,-1.2093645,-1.0960693,-0.07327268,-0.7847778,0.37398404,0.5526352,0.41564322,-0.041752543,0.6663641,-0.95847714,1.7203276,0.6766549,-2.3491392,0.7385768,-1.7382089,1.6685076,-0.55142784,0.87467664,0.5896502,-1.7046502,1.0511019,-0.3644725,-0.900528,-0.8535686,-0.8000048,0.46871597,-0.5435102,-0.030526271,-1.3132896,-2.2413635,1.611053
